School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
MISSION CREST ELEMENTARY,California,0600014,060001412171,–,14,627,94,119,2,872,16,Elementary
MISSION EARLY COLLEGE HIGH,CALIFORNIA,0635430,063543014067,1,35,25,8,36,1,116,10,High
MISSION EDUCATION CENTER,California,0634410,063441005649,–,3,97,2,4,–,108,2,Elementary
MISSION ELEMENTARY,California,0602850,060285000215,7,35,246,139,52,21,527,27,Elementary
MISSION ELEMENTARY,California,0628470,062847004407,5,8,538,17,20,–,593,5,Elementary
MISSION ELEMENTARY,California,0632070,063207012666,2,80,301,63,95,3,581,37,Elementary
MISSION ELEMENTARY,California,0625110,062511003725,–,4,99,–,18,–,123,2,Elementary
MISSION ELEMENTARY,California,0628250,062825004365,–,8,415,14,33,1,493,22,Elementary
MISSION ESTANCIA ELEMENTARY,California,0612750,061275009537,3,56,132,6,538,2,796,59,Elementary
MISSION HIGH,California,0634410,063441005650,5,109,604,158,111,3,1048,58,High
MISSION HILL MIDDLE,California,0635600,063560006065,–,20,172,11,324,–,570,43,Middle
MISSION HILLS HIGH,California,0634880,063488011404,73,245,1531,1,908,8,2851,85,High
MISSION MEADOWS ELEMENTARY,California,0641190,064119001249,2,10,311,4,137,8,511,39,Elementary
MISSION MIDDLE,California,0619260,061926002314,3,4,631,16,23,2,688,9,Middle
MISSION MIDDLE,California,0612880,061288001456,1,14,827,10,21,–,880,7,Middle
MISSION OAK HIGH,California,0639930,063993012084,1,24,1153,21,256,1,1465,9,High
MISSION PARK ELEMENTARY,California,0633930,063393005325,1,15,455,6,102,3,610,28,Elementary
MISSION PREPARATORY,CALIFORNIA,0602236,060223612768,–,33,359,17,10,2,439,18,Elementary
MISSION SAN JOSE ELEMENTARY,California,0614400,061440001677,1,465,16,3,23,1,527,18,Elementary
MISSION SAN JOSE HIGH,California,0614400,061440001678,2,1880,52,6,88,1,2063,34,High
MISSION TRAILS ROP,California,0600120,060012010972,0,0,0,0,0,0,0,0,High
MISSION VALLEY,California,0622410,062241011344,–,–,40,1,16,–,64,7,Elementary
MISSION VALLEY ELEMENTARY,California,0614400,061440001679,–,477,25,8,27,–,559,22,Elementary
MISSION VALLEY ELEMENTARY,California,0639870,063987012002,4,37,418,20,170,1,666,16,Elementary
MISSION VALLEY ROCP,California,0600086,060008610733,0,0,0,0,0,0,0,0,High
MISSION VIEJO HIGH,California,0633860,063386005307,2,177,635,34,951,7,1949,143,High
MISSION VIEW PUBLIC,CALIFORNIA,0601562,060156211906,1,5,207,11,77,0,312,11,Other
MISSION VISTA ACADEMY,CALIFORNIA,0602513,060251314419,11,98,1423,139,1830,14,3875,360,Other
MISSION VISTA HIGH,California,0641190,064119012341,3,162,590,27,738,10,1660,130,High
MISTLETOE ELEMENTARY,California,0612810,061281001441,10,40,129,9,369,–,625,68,Elementary
MIT ACADEMY,CALIFORNIA,0602483,060248310681,1,129,247,64,43,4,513,25,High
MIT GRIFFIN ACADEMY MIDDLE,CALIFORNIA,0601875,060187514264,3,53,113,91,28,3,302,11,Middle
MITCHELL CHILD DEVELOPMENT,CALIFORNIA,0635310,063531014142,†,†,†,†,†,†,†,†,Not Reported
MITCHELL COMMUNITY ELEMENTARY,California,0638220,063822006448,1,25,342,37,161,–,599,33,Elementary
MITCHELL ELEMENTARY,California,0603420,060342000259,3,14,418,12,59,–,523,17,Elementary
MITCHELL ELEMENTARY,California,0614880,061488001862,–,169,236,2,10,3,425,5,Elementary
MITCHELL INTERMEDIATE,California,0603420,060342000260,1,28,562,16,126,2,751,16,Middle
MIWOK VALLEY ELEMENTARY CHARTER,California,0628320,062832004385,1,9,231,9,67,–,327,10,Elementary
MODESTO HIGH,California,0625150,062515003744,10,204,1938,62,205,17,2565,129,High
MODOC COUNTY ROP,California,0600081,060008110966,0,0,0,0,0,0,0,0,High
MODOC COUNTY SPECIAL EDUCATION,California,0691093,069109303758,1,0,7,1,13,1,24,1,Other
MODOC HIGH,California,0625190,062519003764,19,5,55,4,143,1,233,6,High
MODOC MIDDLE,California,0625190,062519003765,20,3,31,3,109,1,173,6,Middle
MOFFETT ELEMENTARY,California,0621420,062142002566,–,2,729,10,5,3,777,28,Elementary
MOJAVE ELEMENTARY,California,0625230,062523003769,3,1,220,120,45,–,414,25,Elementary
MOJAVE HIGH,California,0600014,060001409073,1,1,194,23,24,0,249,6,High
MOJAVE JR./SR. HIGH,California,0625230,062523003771,5,2,218,98,40,1,378,14,High
MOJAVE RIVER ACADEMY - GOLD CANYON,CALIFORNIA,0601601,060160114270,2,1,154,16,35,–,223,15,Other
MOJAVE RIVER ACADEMY - MARBLE CITY,CALIFORNIA,0601751,060175114291,1,1,118,7,68,–,202,7,Other
MOJAVE RIVER ACADEMY - NATIONAL TRAILS,CALIFORNIA,0601935,060193514219,8,1,397,31,96,1,574,40,Other
MOJAVE RIVER ACADEMY - ORO GRANDE,CALIFORNIA,0602209,060220914262,4,8,531,88,183,4,869,51,Other
MOJAVE RIVER ACADEMY - ROCKVIEW PARK,CALIFORNIA,0602427,060242714316,1,–,179,28,75,–,299,16,Other
MOJAVE RIVER ACADEMY - ROUTE 66,CALIFORNIA,0601487,060148714233,4,2,280,45,69,1,432,31,Other
MOJAVE RIVER ACADEMY - SILVER MOUNTAIN,CALIFORNIA,0601577,060157714245,4,1,266,34,208,1,569,55,Other
MOJAVE VISTA ELEMENTARY,California,0641040,064104009202,9,28,534,151,70,7,812,13,Elementary
MOKELUMNE HIGH (CONTINUATION),California,0633110,063311002535,0,0,4,0,3,0,7,0,High
MOKELUMNE HILL ELEMENTARY,California,0606870,060687000628,–,–,23,–,73,–,106,10,Elementary
MOLLY S. BAKMAN ELEMENTARY,California,0614550,061455010777,3,176,497,32,22,1,743,12,Elementary
MONACHE HIGH,California,0600064,060006404879,16,106,1611,3,316,3,2094,39,High
MONARCH,California,0691030,069103012496,3,3,221,27,18,1,285,12,Other
MONARCH ACADEMY,California,0691090,069109008161,1,0,4,0,31,0,40,4,Other
MONARCH GROVE ELEMENTARY,California,0634800,063480001393,1,5,42,2,223,–,296,23,Elementary
MONARCH LEARNING CENTER,CALIFORNIA,0601997,060199708636,3,–,10,4,64,–,86,5,Elementary
MONARCH RIVER ACADEMY,CALIFORNIA,0602508,060250814423,7,16,258,16,540,2,929,90,Other
MONETA CONTINUATION,California,0622710,062271003190,–,3,28,14,2,–,47,–,High
MONO COUNTY OFFICE OF EDUCATION INCLUSIVE PRESCHOOL,CALIFORNIA,0691052,069105214150,†,†,†,†,†,†,†,†,Not Reported
MONO COUNTY ROP,California,0600155,060015510968,0,0,0,0,0,0,0,0,High
MONROE ELEMENTARY,California,0633150,063315005152,3,9,511,19,48,2,599,7,Elementary
MONROE ELEMENTARY,California,0601414,060141406025,1,2,275,2,78,–,368,10,Elementary
MONROE ELEMENTARY,California,0638010,063801006425,5,78,375,56,13,–,541,14,Elementary
MONROE ELEMENTARY,California,0634680,063468005838,–,136,150,41,39,1,413,46,Elementary
MONROE ELEMENTARY,California,0634410,063441005651,–,205,250,6,22,–,537,54,Elementary
MONROE ELEMENTARY,California,0625320,062532003779,1,22,400,25,86,–,552,18,Elementary
MONROE ELEMENTARY,California,0635310,063531005999,1,5,247,4,3,2,262,–,Elementary
MONROE ELEMENTARY,California,0616470,061647002081,6,5,464,30,150,2,684,27,Elementary
MONROE ELEMENTARY,California,0625290,062529003774,–,1,144,–,6,–,152,1,Elementary
MONROE HIGH (CONTINUATION),California,0638880,063888007886,0,0,11,0,12,0,23,0,High
MONROE MIDDLE,California,0607200,060720000672,1,89,664,33,117,2,954,48,Middle
MONROVIA HIGH,California,0625320,062532003780,3,107,1026,87,310,1,1601,67,High
MONSENOR OSCAR ROMERO CHARTER MIDDLE,CALIFORNIA,0601526,060152611928,–,2,315,–,–,–,318,1,Middle
MONSON-SULTANA ELEMENTARY,California,0625350,062535003784,–,–,422,–,19,–,443,2,Elementary
MONTA LOMA ELEMENTARY,California,0626280,062628006932,–,47,95,17,83,4,283,37,Elementary
MONTA VISTA HIGH,California,0614430,061443001699,1,1611,70,8,201,3,2032,138,High
MONTAGUE CHARTER ACADEMY,CALIFORNIA,0602264,060226403194,1,19,779,6,9,–,824,10,Elementary
MONTAGUE ELEMENTARY,California,0635430,063543006045,2,186,121,9,54,5,401,24,Elementary
MONTAGUE ELEMENTARY,California,0625380,062538003785,5,4,22,–,15,–,182,136,Elementary
MONTAIR ELEMENTARY,California,0635130,063513005951,2,59,57,4,341,–,512,49,Elementary
MONTALVIN MANOR ELEMENTARY,California,0632550,063255005045,2,61,353,78,19,–,518,5,Elementary
MONTALVO ELEMENTARY,California,0640980,064098006758,–,6,295,1,72,–,386,12,Elementary
MONTARA AVENUE ELEMENTARY,California,0622710,062271009394,–,–,702,7,5,–,717,3,Elementary
MONTARA ELEMENTARY,California,0604020,060402000364,1,6,296,138,66,2,550,41,Elementary
MONTCLAIR ELEMENTARY,California,0628050,062805004302,1,60,93,81,244,1,604,124,Elementary
MONTCLAIR HIGH,California,0608160,060816000793,19,129,2564,53,93,7,2900,35,High
MONTCLAIRE ELEMENTARY,California,0610290,061029001143,–,204,14,1,125,1,410,65,Elementary
MONTE BELLA ELEMENTARY,California,0601950,060195013182,1,20,795,2,8,–,837,11,Elementary
MONTE GARDENS ELEMENTARY,California,0626370,062637003957,1,53,147,12,155,1,482,113,Elementary
MONTE RIO ELEMENTARY,California,0625410,062541003786,–,–,10,–,35,–,60,15,Elementary
MONTE VERDE ELEMENTARY,California,0637530,063753006347,1,343,98,6,49,10,563,56,Elementary
MONTE VISTA,California,0637560,063756008990,–,4,193,3,2,–,203,1,Middle
MONTE VISTA,California,0625530,062553012851,1,17,127,13,174,4,352,16,Elementary
MONTE VISTA,California,0636840,063684009639,1,7,114,5,219,–,365,19,Other
MONTE VISTA ELEMENTARY,California,0600029,060002911239,4,110,316,64,250,6,848,98,Elementary
MONTE VISTA ELEMENTARY,California,0635310,063531006000,2,5,444,1,1,1,454,–,Elementary
MONTE VISTA ELEMENTARY,California,0626190,062619003918,–,29,554,4,2,–,591,2,Elementary
MONTE VISTA ELEMENTARY,California,0642000,064200006882,–,68,390,9,25,–,494,2,Elementary
MONTE VISTA ELEMENTARY,California,0615240,061524001940,1,427,46,1,234,1,752,42,Elementary
MONTE VISTA ELEMENTARY,California,0600064,060006407467,4,6,394,–,44,–,461,13,Elementary
MONTE VISTA ELEMENTARY,California,0617490,061749002189,‡,‡,‡,‡,‡,‡,0,‡,Elementary
MONTE VISTA ELEMENTARY,California,0641190,064119006820,1,6,261,4,157,–,472,43,Elementary
MONTE VISTA ELEMENTARY,California,0620880,062088002510,6,14,368,202,105,1,734,38,Elementary
MONTE VISTA ELEMENTARY,California,0628470,062847004408,7,24,527,11,14,–,589,6,Elementary
MONTE VISTA ELEMENTARY,California,0609940,060994009772,1,25,167,7,204,1,454,49,Elementary
MONTE VISTA HIGH,California,0616230,061623002024,7,68,1061,186,220,9,1651,100,High
MONTE VISTA HIGH,California,0635130,063513005952,4,657,200,16,1320,5,2441,239,High
MONTE VISTA HIGH/CLOUD CAMPUS,California,0627240,062724008919,4,149,969,34,452,8,1731,115,Other
MONTE VISTA MIDDLE,California,0600047,060004707384,4,115,541,47,85,18,839,29,Middle
MONTE VISTA MIDDLE,California,0634440,063444005691,15,7,653,97,78,5,879,24,Middle
MONTE VISTA MIDDLE,California,0630990,063099004804,2,46,316,33,248,–,697,52,Middle
MONTE VISTA STREET ELEMENTARY,California,0622710,062271003195,–,3,255,1,7,–,269,3,Elementary
MONTEBELLO COMMUNITY DAY,California,0625470,062547008726,1,0,23,0,0,0,24,0,High
MONTEBELLO GARDENS ELEMENTARY,California,0625470,062547003802,1,5,273,–,1,–,281,1,Elementary
MONTEBELLO HIGH,California,0625470,062547003803,2,16,2210,11,41,2,2293,11,High
MONTEBELLO INTERMEDIATE,California,0625470,062547003804,1,4,863,1,5,1,878,3,Middle
MONTEBELLO PARK ELEMENTARY,California,0625470,062547003805,–,–,474,–,1,–,479,4,Elementary
MONTECITO HIGH (CONTINUATION),California,0631710,063171004906,2,0,40,1,43,0,88,2,High
MONTECITO UNION,California,0625500,062550003815,4,3,44,2,271,–,374,50,Elementary
MONTEMALAGA ELEMENTARY,California,0629700,062970004615,–,154,53,1,153,–,417,56,Elementary
MONTERA ELEMENTARY,California,0628470,062847011318,10,63,452,18,8,4,559,4,Elementary
MONTERA MIDDLE,California,0628050,062805004303,3,68,144,178,146,4,633,90,Middle
MONTEREY BAY CHARTER,CALIFORNIA,0601570,060157011695,1,25,89,6,304,4,490,61,Elementary
MONTEREY CONTINUATION,California,0622710,062271003197,–,–,49,–,–,–,49,–,High
MONTEREY COUNTY HOME CHARTER,California,0691021,069102108529,–,2,195,2,72,1,277,5,Other
MONTEREY COUNTY SPECIAL EDUCATION,California,0691021,069102107551,1,9,230,2,17,2,271,10,Other
MONTEREY ELEMENTARY,California,0634170,063417005370,2,7,337,33,2,1,402,20,Elementary
MONTEREY HEIGHTS ELEMENTARY,California,0621330,062133002551,2,35,323,58,51,12,511,30,Elementary
MONTEREY HIGH,California,0625530,062553003839,13,148,648,58,380,26,1292,19,High
MONTEREY HIGH (CONTINUATION),California,0606450,060645008120,0,3,45,1,28,0,81,4,High
MONTEREY HIGHLANDS ELEMENTARY,California,0600153,060015310941,3,578,338,2,22,2,991,46,Elementary
MONTEREY HILLS ELEMENTARY,California,0637500,063750006334,–,218,189,13,101,–,632,111,Elementary
MONTEREY PARK ELEMENTARY,California,0633930,063393005326,4,10,494,3,46,1,576,18,Elementary
MONTEREY PENINSULA UNF SCH DIST COM DAY MID,California,0625530,062553012178,0,0,2,1,0,0,3,0,Middle
MONTEREY PENINSULA UNIFIED SCHOOL DISTRICT COMMUNITY DAY,California,0625530,062553011941,0,1,5,0,0,0,7,1,High
MONTEREY RIDGE ELEMENTARY,California,0631530,063153011757,–,477,66,7,227,1,866,88,Elementary
MONTEREY ROAD ELEMENTARY,California,0603300,060330000252,–,2,70,1,241,1,337,22,Elementary
MONTEREY TRAIL HIGH,California,0612330,061233011061,7,1015,578,378,147,66,2355,164,High
MONTEREY VISTA ELEMENTARY,California,0614940,061494001899,–,422,102,–,8,1,546,13,Elementary
MONTEVIDEO ELEMENTARY,California,0635130,063513005953,3,360,74,11,132,1,634,53,Elementary
MONTEVIDEO ELEMENTARY,California,0633860,063386005308,–,18,61,–,112,–,209,18,Elementary
MONTEZUMA ELEMENTARY,California,0638010,063801006426,4,32,584,32,13,–,670,5,Elementary
MONTGOMERY (JOHN J.) ELEMENTARY,California,0608610,060861000868,–,4,274,4,15,–,299,2,Elementary
MONTGOMERY CREEK ELEMENTARY,California,0627040,062704004078,16,–,6,–,35,–,64,7,Elementary
MONTGOMERY ELEMENTARY,California,0625650,062565003845,0,0,2,0,20,0,22,0,Elementary
MONTGOMERY HIGH,California,0635830,063583006127,19,96,818,47,574,23,1623,46,High
MONTGOMERY MIDDLE,California,0606810,060681000622,1,24,262,45,370,6,739,31,Middle
MONTGOMERY MIDDLE,California,0634320,063432005525,1,71,244,33,36,1,419,33,Middle
MONTGOMERY MIDDLE,California,0638640,063864006487,7,45,596,16,63,4,762,31,Middle
MONTGOMERY SENIOR HIGH,California,0638640,063864006488,12,116,1473,32,117,5,1804,49,High
MONTICELLO ELEMENTARY,California,0618840,061884001330,–,113,186,20,109,5,463,30,Elementary
MONTVUE ELEMENTARY,California,0631320,063132004853,–,7,219,21,6,–,253,–,Elementary
MONUMENT MIDDLE,California,0632730,063273005087,5,–,24,–,92,–,127,6,Middle
MOORE MIDDLE,California,0632070,063207004944,7,82,570,57,333,3,1107,55,Middle
MOORPARK HIGH,California,0625690,062569007784,2,123,932,14,672,2,1832,87,High
MORADA MIDDLE,California,0622230,062223002659,–,309,299,57,32,8,736,31,Middle
MORELAND MIDDLE,California,0625770,062577003855,7,275,330,36,208,3,916,57,Middle
MORELLO PARK ELEMENTARY,California,0624030,062403000178,1,42,93,11,257,–,490,86,Elementary
MORENO ELEMENTARY,California,0628470,062847004409,2,8,453,24,17,–,513,9,Elementary
MORENO ELEMENTARY,California,0625800,062580003867,–,14,326,62,29,8,460,21,Elementary
MORENO HIGH (CONTINUATION),California,0604830,060483000470,0,1,3,0,6,0,10,0,High
MORENO VALLEY BRIDGE ACADEMY,CALIFORNIA,0625800,062580014241,†,†,†,†,†,†,†,†,Not Reported
MORENO VALLEY COMMUNITY LEARNING CENTER,California,0625800,062580003589,0,0,4,0,0,0,4,0,High
MORENO VALLEY HIGH,California,0625800,062580003869,1,42,1842,247,65,22,2256,37,High
MORENO VALLEY ONLINE ACADEMY,California,0625800,062580013683,–,1,174,44,32,1,268,16,Other
MORGAN ELEMENTARY,California,0632370,063237004995,4,5,435,65,9,–,524,6,Elementary
MORGAN KINCAID PREPARATORY,California,0601710,060171010603,1,17,453,142,60,3,735,59,Elementary
MORNING CREEK ELEMENTARY,California,0631530,063153010006,–,199,116,22,205,–,626,84,Elementary
MORNINGSIDE,California,0610890,061089008493,3,111,410,2,4,–,543,13,Elementary
MORNINGSIDE ELEMENTARY,California,0622710,062271003198,–,1,461,–,19,–,481,–,Elementary
MORNINGSIDE ELEMENTARY,California,0614880,061488001864,–,266,126,2,14,–,420,12,Elementary
MORNINGSIDE HIGH,California,0618390,061839002260,1,2,403,167,2,4,583,4,High
MORONGO VALLEY ELEMENTARY,California,0625860,062586003887,1,3,62,3,93,1,164,1,Elementary
MORRICE SCHAEFER CHARTER,CALIFORNIA,0601685,060168509993,–,46,161,7,105,3,355,33,Elementary
MORRILL MIDDLE,California,0604800,060480000461,–,420,162,10,29,8,653,24,Middle
MORRIS E. DAILEY CHARTER ELEMENTARY,California,0614550,061455012619,1,16,215,23,90,6,379,28,Elementary
MORRIS ELEMENTARY,California,0624300,062430003652,24,6,50,3,199,1,334,51,Elementary
MORRIS K. HAMASAKI ELEMENTARY,California,0622710,062271003306,–,–,409,9,10,–,429,1,Elementary
MORRO BAY HIGH,California,0634800,063480005875,1,54,235,5,528,–,866,43,High
MORSE ELEMENTARY,California,0630660,063066004766,–,32,272,7,38,3,374,22,Elementary
MORSE HIGH,California,0634320,063432005526,5,631,727,211,32,31,1788,151,High
MOSCONE (GEORGE R.) ELEMENTARY,California,0634410,063441005615,–,130,196,1,8,–,373,38,Elementary
MOSSDALE ELEMENTARY,California,0623610,062361011959,2,293,384,84,109,17,952,63,Elementary
MOTIVATED YOUTH ACADEMY,CALIFORNIA,0601639,060163913837,16,3,87,6,43,0,167,12,Other
MOULTON ELEMENTARY,California,0607440,060744000695,–,48,81,7,369,–,569,64,Elementary
MOUND ELEMENTARY,California,0640980,064098009456,–,65,208,4,240,3,555,35,Elementary
MOUNT MIGUEL HIGH,California,0616230,061623002025,6,81,874,173,130,19,1354,71,High
MOUNT TORO HIGH,California,0633980,063398005334,0,0,185,1,12,0,199,1,High
MOUNTAIN AVENUE ELEMENTARY,California,0615240,061524001941,1,129,84,8,294,3,556,37,Elementary
MOUNTAIN CREEK MIDDLE,California,0630480,063048002973,1,3,11,–,60,–,87,12,Middle
MOUNTAIN ELEMENTARY,California,0626070,062607009166,–,4,15,–,105,–,133,9,Elementary
MOUNTAIN ELEMENTARY,California,0610770,061077001196,2,–,10,–,42,–,58,4,Elementary
MOUNTAIN EMPIRE HIGH,California,0626100,062610003906,22,7,261,8,121,–,432,13,High
MOUNTAIN EMPIRE SPECIAL EDUCATION PRESCHOOL,California,0626100,062610013510,†,†,†,†,†,†,†,†,Not Reported
MOUNTAIN HEIGHTS ACADEMY,California,0634440,063444011034,8,4,121,14,37,1,197,12,Other
MOUNTAIN HIGH,California,0638280,063828010706,0,0,0,0,4,0,4,0,High
MOUNTAIN HIGH,California,0632610,063261005073,0,0,14,1,29,0,46,2,High
MOUNTAIN HOME CHARTER (ALTERNATIVE),CALIFORNIA,0602365,060236510251,3,5,52,2,152,–,229,15,Elementary
MOUNTAIN HOUSE ELEMENTARY,California,0626130,062613003910,0,0,12,0,4,0,16,0,Elementary
MOUNTAIN HOUSE HIGH,California,0601410,060141013692,9,894,280,119,291,13,1709,103,High
MOUNTAIN LAKES HIGH,California,0614950,061495001631,3,–,7,1,25,–,39,3,High
MOUNTAIN MEADOWS ELEMENTARY,California,0625690,062569009158,–,24,196,7,174,–,421,20,Elementary
MOUNTAIN OAKS,California,0691003,069100308686,7,1,67,4,341,1,452,31,Other
MOUNTAIN OAKS HIGH,California,0600116,060011610544,3,–,7,–,7,–,17,–,High
MOUNTAIN PARK,California,0625320,062532008725,1,4,47,2,27,0,87,6,Other
MOUNTAIN SHADOWS MIDDLE,California,0627780,062778009962,1,–,304,5,50,–,365,5,Middle
MOUNTAIN VALLEY ACADEMY,California,0631710,063171008945,–,2,44,2,188,–,247,11,Other
MOUNTAIN VIEW,CALIFORNIA,0634320,063432014500,1,3,100,5,14,–,135,12,Elementary
MOUNTAIN VIEW (ALTERNATIVE),California,0619700,061970009385,1,0,186,0,13,0,204,4,Other
MOUNTAIN VIEW ELEMENTARY,California,0608760,060876000891,1,49,248,25,88,2,439,26,Elementary
MOUNTAIN VIEW ELEMENTARY,California,0626220,062622003921,–,25,443,35,43,1,556,9,Elementary
MOUNTAIN VIEW ELEMENTARY,California,0626370,062637003958,1,20,102,9,107,6,281,36,Elementary
MOUNTAIN VIEW ELEMENTARY,California,0641160,064116006800,3,8,337,7,107,–,484,22,Elementary
MOUNTAIN VIEW ELEMENTARY,California,0615510,061551001975,–,15,52,1,146,–,261,47,Elementary
MOUNTAIN VIEW ELEMENTARY,California,0636840,063684006262,1,25,160,1,181,2,386,16,Elementary
MOUNTAIN VIEW ELEMENTARY,California,0633150,063315005153,5,19,649,40,64,5,791,9,Elementary
MOUNTAIN VIEW ELEMENTARY,California,0622710,062271003199,–,7,58,–,410,–,482,7,Elementary
MOUNTAIN VIEW ELEMENTARY,California,0609030,060903008125,5,124,250,25,196,4,623,19,Elementary
MOUNTAIN VIEW HIGH,California,0626310,062631003930,2,585,490,29,897,9,2253,241,High
MOUNTAIN VIEW HIGH,California,0634440,063444005692,4,0,175,14,21,1,222,7,High
MOUNTAIN VIEW HIGH,California,0600015,060001503907,–,1,8,2,4,–,15,–,High
MOUNTAIN VIEW HIGH,California,0612120,061212001365,–,88,1258,1,5,–,1354,2,High
MOUNTAIN VIEW HIGH (CONTINUATION),California,0613470,061347008137,4,–,2,–,13,–,21,2,High
MOUNTAIN VIEW LEARNING ACADEMY,California,0602100,060210007300,2,–,38,1,103,–,150,6,Elementary
